"","theta.pm.t","w","diag.Ct"
"1",-0.582154483419819,0.000999729842368933,0.0638934832289925
"2",0.706467288470908,0.000999428403914805,6.65712292442091
"3",-0.0271057443837665,0.000998848921245607,6.46954046231221
"4",-0.0487773529130979,0.0010000001303273,0.0143998498089414
"5",-0.499680161160328,0.00100015325530903,0.041959086683759
"6",-0.663397581379577,0.00100075018771594,0.0386757883207212
"7",-0.73606466056103,0.000998655788399377,0.0367215703218031
"8",-0.775670549671033,0.00100002412154622,0.0351424604867555
"9",-0.720396186154411,0.000999318805435784,0.0341321877952076
"10",-0.532506544754009,0.00100053387706714,0.0335725733778438
"11",-0.199557974288225,0.00100011195329116,0.0359427394572025
"12",-0.234980861537896,0.000999996312942625,0.0725902188276094
"13",-0.09050435517371,0.000998603447615199,0.072284880306035
"14",0.186764900517442,0.000999893508098487,0.0723549489885956
"15",0.464335073824488,0.00099962243969107,0.0723859399185012
"16",0.595987631583924,0.000999269335489439,0.0640526822433475
"17",0.660026973397098,0.000999724274178184,0.0552372419414424
"18",0.709185087332632,0.00100038156305914,0.0523447700536638
"19",0.766503657678022,0.000999357885254077,0.0519336920314425
"20",0.834378826416484,0.00100022405247373,0.051097019228348
"21",0.881938812944822,0.000999447290471538,0.0492026098348637
"22",0.790757451392879,0.000999898656301882,0.0466968275848376
"23",0.599173078759458,0.000999640445455357,0.0431667995123693
"24",0.463565170096783,0.000999832104620403,0.0411092944873702
"25",0.460631839217939,0.00100042309838135,0.0369861851555434
"26",0.325956208572278,0.000999448643548257,0.0316612631637462
"27",0.356729328214739,0.00100055938524069,0.0511462579497497
"28",0.290704570425754,0.000999661993846978,0.0665788921654813
"29",0.251069236985161,0.000999955103284586,0.296923633009692
"30",0.216273479671111,0.000999094983220491,0.248219670777376
"31",0.0215053466464038,0.00099942718197721,0.192583181383369
"32",-0.00883557489470518,0.00100023451417307,0.1361774994623
