"","theta.pm.t","w","diag.Ct"
"1",-0.265555932096276,0.00100046066997366,0.0362916149964311
"2",-2.09395091399197,0.00100026500050155,6.43386717146478
"3",2.73712183527329,0.000999203251103195,6.25589723033888
"4",0.035381359224226,0.000999688372844126,0.027900965318119
"5",-0.264544875430632,0.00100068458617161,0.0263681319982874
"6",-0.471817220248867,0.000999117578211221,0.0263248417419035
"7",-0.635425821861064,0.00100019058455677,0.0257914677068276
"8",-0.702415176003857,0.000999534332993727,0.0254957421365463
"9",-0.745102001141205,0.000999456351481267,0.0250578734864368
"10",-0.692904350354009,0.00100032306365036,0.0247389882465278
"11",-0.492468759667454,0.000999327164980985,0.0245252942443511
"12",-0.156971215441605,0.00100027455854468,0.0259530072936428
"13",-0.176580230127333,0.000999828456264751,0.0687374387388425
"14",-0.0813604759372309,0.00100082349790661,0.0784293803158786
"15",0.184165975267934,0.00100076617797648,0.0751986366840164
"16",0.472515595928375,0.000999237638156817,0.0734259754895037
"17",0.624211952596048,0.00100008670070672,0.0660699604947523
"18",0.688745874883618,0.000999836615628188,0.0587694740684625
"19",0.739504419557727,0.000999871143262451,0.0563485026182243
"20",0.800547673481809,0.000999165915037742,0.0563032538420448
"21",0.860995455767613,0.00100037974925325,0.056961732704705
"22",0.904206788088589,0.000999666500363709,0.0586242182105104
"23",0.849643274733007,0.000999280105855957,0.0459331465081774
"24",0.638910306438824,0.000999795146519359,0.0418656216655016
"25",0.49146082071665,0.000999885528921657,0.0394020998047373
"26",0.47714940454946,0.00099950754961735,0.0352627256815916
"27",0.348116520182022,0.00100008767444255,0.0302988751757337
