"","theta.pm.t","w","diag.Ct"
"1",-0.262636359933685,0.000999599986098852,0.0362852302565909
"2",-2.17008543757538,0.00099948732839426,6.43269145471492
"3",2.80305062743049,0.0009993651055339,6.25476554376216
"4",0.0269714115237177,0.00100059009657122,0.027908607599762
"5",-0.269769440606401,0.00100020695145978,0.0263651030240101
"6",-0.476640908223978,0.000999757345162296,0.0263501101337932
"7",-0.634997648747267,0.000999332181365181,0.0258001476041294
"8",-0.703812153940969,0.00099967564900728,0.0255177546293298
"9",-0.745314238414868,0.000999611326393199,0.0250997032372147
"10",-0.687744224268417,0.000999838831722468,0.024743121920879
"11",-0.499434113660214,0.000999559735678704,0.0245241326449413
"12",-0.159455100338514,0.000999717437155515,0.0259683109604673
"13",-0.173946361094213,0.000999349941463665,0.0687356925990189
"14",-0.0891272360718408,0.000999494209484125,0.0784101539195618
"15",0.18536508614867,0.00100000186964752,0.0751934113714099
"16",0.47167545867393,0.000999717579129547,0.073432898200668
"17",0.615601969927132,0.000999870545746127,0.066081695777221
"18",0.687001463922389,0.000999856528135716,0.0587637378950592
"19",0.740215131894731,0.000999724350249342,0.0563410145055826
"20",0.792421124276113,0.0009996367694532,0.056321894630407
"21",0.856402807683635,0.000999989908286303,0.0569632909880954
"22",0.902314443165065,0.000999791287274072,0.0586473507903835
"23",0.837546074909345,0.000999751626688397,0.0459439946307396
"24",0.626337747171284,0.00100016788696115,0.0418844007747308
"25",0.492311002992247,0.0010000826146615,0.0394194108566108
"26",0.481869175426683,0.000999688151061044,0.0352920431657162
"27",0.350206996612162,0.000999806223358664,0.0303038938487435
