"","theta.pm.t","w","diag.Ct"
"1",-0.422015323069509,0.00099972008737157,0.112964846054444
"2",-0.646228392135966,0.000999992032701834,8.42309814643946
"3",0.957836764000061,0.000999560012024928,8.20699433738973
"4",0.0588270593436876,0.000998892457719966,0.0858231239853994
"5",-0.342230559110305,0.00099983174686502,0.114123061247963
"6",-0.575041062970319,0.000999949970507398,0.105512156783614
"7",-0.748454056199568,0.000999990270872509,0.10305519954218
"8",-0.868078845713849,0.0009999062971759,0.10330396676362
"9",-0.962140685408312,0.000999153382035206,0.101905880954798
"10",-0.991092810405826,0.0010005250120291,0.105439080705335
"11",-0.950380154927744,0.000998808788313363,0.11130004849666
"12",-0.869087691440321,0.000999577177084279,0.120752242461634
"13",-0.848682219966522,0.000999949292251877,0.151311122295936
"14",-0.643255246562088,0.00100047542417642,0.161210408098287
"15",-0.332811420367855,0.00100013786705675,0.165177632756231
"16",0.0108963674177937,0.00100012020939392,0.173236078813616
"17",0.242918212834783,0.00100122058854417,0.146872604581709
"18",0.403577918613605,0.000999629736734539,0.109307406927552
"19",0.527250112301338,0.0010000448731938,0.0974942405247333
"20",0.673185035560031,0.000999970786650576,0.0984342392569772
"21",0.809557641254092,0.000999272457787578,0.102075154681652
"22",0.888929630571753,0.000999293169387745,0.102987216418001
"23",0.863028364991849,0.000999719465287814,0.0984298084225171
"24",0.690066615214133,0.00100010409682514,0.0942663914138505
"25",0.551006850697947,0.00099929298416899,0.0882926091528575
"26",0.470558216167484,0.00099994653826393,0.0837675575379419
"27",0.293186900467461,0.00100012386913985,0.0719494511642825
"28",0.42305039064717,1,8.09628783087552
"29",1.00040087172218,1,0.194902871883805
"30",0.66850801288533,1,128.032384622198
"31",0.144588540447288,1,104.028255762637
"32",-0.0123895118468213,1,80.02430573208
"33",-0.145638176189979,1,56.0336908176408
