"","theta.pm.t","w","diag.Ct"
"1",-0.256263550189887,0.00100047299680449,0.0363022284753056
"2",-2.08925660530081,0.000998994257563641,6.4326997080169
"3",2.71954640031973,0.000999228766184238,6.2547519795871
"4",0.0435058129858729,0.00100005396542509,0.0279124209443902
"5",-0.266064448352281,0.000999554466322093,0.0264026214157735
"6",-0.479563147936735,0.00100039632471115,0.0263832131272638
"7",-0.641229225065774,0.00100014242642665,0.0258315818747989
"8",-0.705498236404193,0.000999933547699737,0.0255458483848972
"9",-0.737728942554218,0.000999980769553337,0.0251015520768949
"10",-0.693750997229588,0.000999851332401229,0.0247772212723334
"11",-0.489800957483887,0.000999799418487311,0.0245536801971728
"12",-0.161445292460495,0.00100033649946991,0.0259931154107267
"13",-0.179544577692871,0.000999976185780135,0.0687914619574945
"14",-0.0999076565907985,0.000999885847648017,0.0784361609840406
"15",0.163408183707398,0.000999890746257503,0.0752271379397596
"16",0.459454937737357,0.000999201564147971,0.073459125938923
"17",0.61562402050615,0.000999194209508097,0.0660990696888171
"18",0.681493924002781,0.0010001195798818,0.0588293298872414
"19",0.74790561981008,0.000999384614267935,0.0563652793152344
"20",0.795562591880107,0.000999248547102546,0.0563480388860667
"21",0.864737607946055,0.00100035125459978,0.0570022412764969
"22",0.891708433596176,0.00100037833136526,0.0586705107831213
"23",0.852714296024535,0.00100004002313004,0.0459793671808634
"24",0.635395423922576,0.000999661255519387,0.0419174361273572
"25",0.491033709713106,0.000999924969720641,0.039446147061334
"26",0.49240767243384,0.000999856389567627,0.0353087550453521
"27",0.360370791443815,0.00100008811578265,0.0303426169675048
